source,target,weight,sources
bersuit-vergarabat,nada-mas-que-hoy,1,bio
bersuit-vergarabat,no-te-va-gustar,1,bio
bersuit-vergarabat,la-otra-cara,1,bio
bersuit-vergarabat,pario-la-choca,1,bio
bersuit-vergarabat,tan-bionica,1,bio
bersuit-vergarabat,los-ustedes,1,bio
bersuit-vergarabat,manuel-wirzt,1,bio
bhaires-rapsoddya,litto-nebbia,1,bio
bicicletas,victoria-y-los-del-sur,1,bio
bien-desocupados,2-minutos,1,bio
bien-desocupados,cadena-perpetua,1,bio
bien-desocupados,flema,1,bio
bienes-raices,charly-garcia,1,bio
billy-bond,alejandro-medina,1,bio
billy-bond,charly-garcia,1,bio
billy-bond,claudio-gabis,1,bio
billy-bond,david-lebon,2,bio
billy-bond,javier-martinez,1,bio
billy-bond,jorge-pinchevsky,1,bio
billy-bond,kubero-diaz,1,bio
billy-bond,los-shakers,1,bio
billy-bond,luis-alberto-spinetta,1,bio
billy-bond,manal,1,bio
billy-bond,pappo,1,bio
billy-bond,raul-porchetto,1,bio
billy-bond,seru-giran,2,bio
billy-bond,sui-generis,1,bio
billy-bond,vox-dei,2,bio
billy-bond,jose-alberto-iglesias-tanguito,1,bio
black-amaya-quinteto,la-pesada-del-rocanrol,1,bio
black-amaya-quinteto,pappos-blues,1,bio
black-amaya-quinteto,pescado-rabioso,1,bio
black-dali,kameleba,1,bio
blender,los-ratones-paranoicos,1,bio
blue-universe,guillermo-cides,1,bio
blues-band,javier-martinez,1,bio
blues-band,manal,1,bio
blues-motel,luis-alberto-spinetta,1,bio
blues-motel,manal,1,bio
blues-motel,guasones,1,bio
boas-teitas,12156,1,bio
boas-teitas,165,1,bio
boas-teitas,virus,1,bio
bodie,bodie-y-los-flugelrads,1,bio
boff-serafine,la-naranja-2,1,bio
boom-boom-kid,fun-people,2,bio
bort-sinapellido,los-reyes-del-falsete,1,bio
bort-sinapellido,valentin-y-los-volcanes,1,bio
botafogo,carolina,1,bio
botafogo,ciro-fogliatta,2,bio
botafogo,don-vilanova,2,bio
botafogo,durazno-de-gala,2,bio
botafogo,javier-calamaro,1,bio
botafogo,las-blacanblus,1,bio
botafogo,los-guarros,1,bio
botafogo,miguel-cantilo,2,bio
botafogo,pappo,1,bio
botafogo,pappos-blues,2,bio
botafogo,vitico,1,bio
botafogo,emmanuel-horvilleur,1,bio
botafogo,los-pulgones,1,bio
botafogo,la-trifasica,1,bio
boutique,209,1,bio
boxer,riff,1,bio
bristol,el-otro-yo,1,bio
bristol,soda-stereo,1,bio
brixton-crenchy,catupecu-machu,1,bio
bue,claudia-puyo,1,bio
bue,trapani-anden,1,bio
buenas-tardes,21132,1,bio
buenas-tardes,8543,1,bio
bulldog,las-manos-de-filippi,1,bio
bunnder,soda-stereo,1,bio
bunnder,virus,1,bio
burbuja-y-los-basicos,intoxicados,1,bio
burbuja-y-los-basicos,manto,1,bio
burbuja-y-los-basicos,viejas-locas,1,bio
burritos,3048,1,bio
burritos,charly-garcia,1,bio
christian-basso,clap,2,bio
christian-basso,diego-frenkel,1,bio
christian-basso,friccion,2,bio
christian-basso,gustavo-cerati,1,bio
christian-basso,la-portuaria,2,bio
christian-basso,richard-coleman,2,bio
christian-basso,maria-gabriela-epumer,1,bio
christian-basso,sexteto-irreal,1,bio
daniel-buira,1139,1,bio
daniel-buira,422,1,bio
daniel-semilla-bucciarelli,patricio-rey-y-sus-redonditos-de-ricota,1,bio
eduardo-skay-beilinson,carlos-indio-solari,2,bio
eduardo-skay-beilinson,diplodocum,2,bio
eduardo-skay-beilinson,la-cofradia-de-la-flor-solar,1,bio
eduardo-skay-beilinson,patricio-rey-y-sus-redonditos-de-ricota,2,bio
eduardo-skay-beilinson,intoxicados,1,bio
eduardo-skay-beilinson,edelmiro-molinari,1,bio
eduardo-skay-beilinson,los-piojos,1,bio
eduardo-skay-beilinson,el-soldado,1,bio
el-bordo,ale-kurz,1,bio
el-bordo,callejeros,1,bio
el-bordo,la-renga,1,bio
el-bordo,los-gardelitos,1,bio
el-bordo,maldita-suerte,1,bio
el-bordo,mam,1,bio
emiliano-brancciari,no-te-va-gustar,2,bio
ezequiel-borra,16626,1,bio
ezequiel-borra,perota-chingo,1,bio
felipe-barrozo,intoxicados,1,bio
felipe-barrozo,luis-alberto-spinetta,1,bio
felipe-barrozo,nada-mas-que-hoy,2,bio
felipe-barrozo,viejas-locas,1,bio
felipe-barrozo,vox-dei,1,bio
fernando-blanco,8930,1,bio
fernando-blanco,los-super-ratones,2,bio
fernando-blanco,nube-9,1,bio
francisco-bochaton,gustavo-cerati,1,bio
francisco-bochaton,leo-garcia,1,bio
francisco-bochaton,peligrosos-gorriones,2,bio
francisco-bochaton,cexxxa,1,bio
francisco-bochaton,maria-gabriela-epumer,1,bio
francisco-bochaton,koyi,1,bio
francisco-bochaton,flopa-lestani,1,bio
francisco-bochaton,marianela-pelzmajer,1,bio
guillermo-beresnak,8164,1,bio
gustavo-bazterrica,alejandro-lerner,1,bio
gustavo-bazterrica,andres-calamaro,1,bio
gustavo-bazterrica,charly-garcia,2,bio
gustavo-bazterrica,kubero-diaz,1,bio
gustavo-bazterrica,la-maquina-de-hacer-pajaros,2,bio
gustavo-bazterrica,luis-alberto-spinetta,1,bio
gustavo-bazterrica,oscar-moro,1,bio
gustavo-bazterrica,raul-porchetto,1,bio
gustavo-bazterrica,rinaldo-rafanelli,1,bio
gustavo-bazterrica,fabiana-cantilo,1,bio
hugo-bistolfi,rata-blanca,2,bio
juan-carlos-baglietto,alejandro-lerner,1,bio
juan-carlos-baglietto,celeste-carballo,2,bio
juan-carlos-baglietto,daniel-wirzt,1,bio
juan-carlos-baglietto,eduardo-rogatti,2,bio
juan-carlos-baglietto,fabian-gallardo,2,bio
juan-carlos-baglietto,fito-paez,2,bio
juan-carlos-baglietto,irreal,2,bio
juan-carlos-baglietto,leon-gieco,2,bio
juan-carlos-baglietto,lito-vitale,2,bio
juan-carlos-baglietto,litto-nebbia,2,bio
juan-carlos-baglietto,los-gatos,1,bio
juan-carlos-baglietto,nito-mestre,2,bio
juan-carlos-baglietto,oveja-negra,2,bio
juan-carlos-baglietto,ruben-goldin,1,bio
juan-carlos-baglietto,silvina-garre,2,bio
juan-carlos-baglietto,dr-rock,1,bio
juan-carlos-baglietto,lalo-de-los-santos,1,bio
juan-carlos-baglietto,jorge-fandermole,1,bio
juan-carlos-baglietto,magma,1,bio
juan-carlos-baglietto,piero,1,bio
juan-carlos-baglietto,patricia-sosa,1,bio
juan-carlos-baglietto,sumo,1,bio
juan-carlos-baglietto,la-torre,1,bio
juan-carlos-baglietto,daniel-tuerto-wirzt,1,bio
juan-carlos-baglietto,manuel-wirzt,1,bio
julian-benjamin,instruccion-civica,1,bio
julian-benjamin,los-perros,1,bio
julio-breshnev,vetamadre,2,bio
julio-breshnev,cosmeticos,1,bio
la-banda,ruben-rada,1,bio
la-banda-anonima,patricia-sosa,1,bio
la-banda-del-paraiso,los-gatos,1,bio
la-barra-de-chocolate,pajarito-zaguri,1,bio
la-beat-band,divididos,1,bio
la-beat-band,los-twist,1,bio
la-beat-band,virus,1,bio
la-beriso,kapanga,1,bio
la-bluesbanda,ciro-fogliatta,1,bio
la-bluesbanda,dulces-16,1,bio
la-bluesbanda,gabriel-conejo-jolivet,1,bio
la-bluesbanda,pajarito-zaguri,1,bio
la-bomba-de-tiempo,puente-celeste,1,bio
la-bomba-de-tiempo,santiago-vazquez,1,bio
las-blacanblus,cristina-dall,2,bio
las-blacanblus,deborah-dixon,1,bio
las-blacanblus,mississippi-blues-band,1,bio
las-blacanblus,viviana-scaliza,2,bio
leslie-buron,139,1,bio
leslie-buron,1580,1,bio
leslie-buron,litto-nebbia,1,bio
leslie-buron,luis-alberto-spinetta,1,bio
leslie-buron,cosmeticos,1,bio
los-bastarddos,2-minutos,1,bio
los-bastarddos,los-violadores,1,bio
los-bastarddos,todos-tus-muertos,1,bio
los-beatniks,javier-martinez,1,bio
los-beatniks,moris,2,bio
los-beatniks,pajarito-zaguri,2,bio
los-beatniks,los-buhos,1,bio
los-bichos,la-pesada-del-rocanrol,1,bio
los-blues-makers,andres-calamaro,1,bio
los-blues-makers,ciro-fogliatta,1,bio
los-blues-makers,claudio-gabis,1,bio
los-bluyines,10137,1,bio
los-brujos,daniel-melero,1,bio
los-brujos,gustavo-cerati,1,bio
los-brujos,juana-la-loca,2,bio
los-brujos,los-cafres,1,bio
los-brujos,massacre,2,bio
los-brujos,peligrosos-gorriones,2,bio
los-brujos,demonios-de-tasmania,1,bio
los-brujos,electron,1,bio
los-brujos,ermitanos,1,bio
los-brujos,fanfarron,1,bio
los-brujos,karamelo-santo,1,bio
los-brujos,martes-menta,1,bio
los-brujos,los-visitantes,1,bio
los-buhos,los-gatos,1,bio
mariana-baraj,catupecu-machu,1,bio
